filename,item_type,label
269_i150.png,269,metal
398_i160.png,398,metal
269_i230.png,269,metal
531_i180.png,531,metal
982_i180.png,982,metal
430_i190.png,430,metal
279_i140.png,279,metal
376_i170.png,376,metal
800_i170.png,800,metal
930_i140.png,930,metal
20_i120.png,20,metal
578_i120.png,578,metal
737_i190.png,737,metal
264_i110.png,264,metal
20_i140.png,20,metal
312_i110.png,312,metal
200_i150.png,200,metal
578_i130.png,578,metal
805_i210.png,805,metal
616_i180.png,616,metal
848_i190.png,848,metal
908_i150.png,908,metal
97_i170.png,97,metal
981_i210.png,981,metal
930_i250.png,930,metal
642_i120.png,642,metal
849_i230.png,849,metal
312_i120.png,312,metal
144_i210.png,144,metal
453_i170.png,453,metal
97_i250.png,97,metal
800_i120.png,800,metal
42_i110.png,42,metal
405_i130.png,405,metal
849_i250.png,849,metal
300_i210.png,300,metal
42_i140.png,42,metal
420_i150.png,420,metal
78_i160.png,78,metal
453_i120.png,453,metal
453_i130.png,453,metal
200_i180.png,200,metal
578_i140.png,578,metal
578_i250.png,578,metal
891_i170.png,891,metal
531_i110.png,531,metal
642_i250.png,642,metal
166_i210.png,166,metal
433_i120.png,433,metal
215_i190.png,215,metal
848_i170.png,848,metal
578_i170.png,578,metal
919_i160.png,919,metal
311_i250.png,311,metal
81_i210.png,81,metal
737_i150.png,737,metal
804_i170.png,804,metal
397_i170.png,397,metal
433_i180.png,433,metal
166_i190.png,166,metal
642_i160.png,642,metal
578_i210.png,578,metal
644_i160.png,644,metal
891_i210.png,891,metal
397_i180.png,397,metal
430_i180.png,430,metal
97_i230.png,97,metal
215_i150.png,215,metal
932_i150.png,932,metal
930_i180.png,930,metal
531_i160.png,531,metal
42_i180.png,42,metal
433_i170.png,433,metal
237_i120.png,237,metal
523_i110.png,523,metal
59_i130.png,59,metal
516_i250.png,516,metal
328_i110.png,328,metal
376_i140.png,376,metal
279_i130.png,279,metal
981_i130.png,981,metal
818_i110.png,818,metal
644_i130.png,644,metal
328_i210.png,328,metal
804_i120.png,804,metal
433_i230.png,433,metal
78_i140.png,78,metal
818_i230.png,818,metal
405_i150.png,405,metal
22_i120.png,22,metal
22_i130.png,22,metal
237_i190.png,237,metal
405_i140.png,405,metal
411_i180.png,411,metal
891_i250.png,891,metal
531_i150.png,531,metal
919_i150.png,919,metal
22_i140.png,22,metal
859_i170.png,859,metal
30_i120.png,30,metal
42_i130.png,42,metal
737_i250.png,737,metal
855_i180.png,855,metal
849_i120.png,849,metal
215_i160.png,215,metal
919_i170.png,919,metal
81_i130.png,81,metal
20_i150.png,20,metal
919_i190.png,919,metal
433_i150.png,433,metal
166_i170.png,166,metal
420_i160.png,420,metal
300_i170.png,300,metal
644_i110.png,644,metal
81_i150.png,81,metal
800_i180.png,800,metal
200_i190.png,200,metal
616_i230.png,616,metal
800_i210.png,800,metal
615_i230.png,615,metal
22_i250.png,22,metal
616_i120.png,616,metal
310_i190.png,310,metal
397_i130.png,397,metal
312_i190.png,312,metal
453_i140.png,453,metal
166_i160.png,166,metal
200_i120.png,200,metal
616_i110.png,616,metal
891_i110.png,891,metal
405_i210.png,405,metal
398_i250.png,398,metal
859_i190.png,859,metal
77_i250.png,77,metal
20_i250.png,20,metal
804_i250.png,804,metal
77_i150.png,77,metal
59_i190.png,59,metal
81_i250.png,81,metal
144_i150.png,144,metal
849_i110.png,849,metal
405_i250.png,405,metal
516_i230.png,516,metal
59_i180.png,59,metal
981_i170.png,981,metal
805_i140.png,805,metal
737_i210.png,737,metal
310_i230.png,310,metal
420_i190.png,420,metal
397_i190.png,397,metal
848_i180.png,848,metal
397_i140.png,397,metal
773_i110.png,773,metal
328_i140.png,328,metal
531_i130.png,531,metal
328_i180.png,328,metal
97_i190.png,97,metal
737_i110.png,737,metal
420_i230.png,420,metal
615_i140.png,615,metal
22_i150.png,22,metal
42_i190.png,42,metal
258_i110.png,258,metal
237_i140.png,237,metal
855_i120.png,855,metal
800_i130.png,800,metal
981_i140.png,981,metal
773_i190.png,773,metal
59_i110.png,59,metal
773_i230.png,773,metal
433_i130.png,433,metal
311_i120.png,311,metal
859_i110.png,859,metal
578_i160.png,578,metal
431_i120.png,431,metal
420_i130.png,420,metal
30_i230.png,30,metal
800_i160.png,800,metal
804_i180.png,804,metal
30_i210.png,30,metal
932_i170.png,932,metal
805_i150.png,805,metal
578_i190.png,578,metal
215_i250.png,215,metal
891_i130.png,891,metal
919_i130.png,919,metal
737_i170.png,737,metal
982_i120.png,982,metal
200_i130.png,200,metal
258_i130.png,258,metal
269_i250.png,269,metal
310_i140.png,310,metal
258_i210.png,258,metal
804_i230.png,804,metal
908_i170.png,908,metal
398_i140.png,398,metal
800_i190.png,800,metal
376_i110.png,376,metal
311_i150.png,311,metal
269_i110.png,269,metal
805_i110.png,805,metal
81_i190.png,81,metal
405_i120.png,405,metal
455_i140.png,455,metal
376_i130.png,376,metal
310_i120.png,310,metal
426_i170.png,426,metal
932_i120.png,932,metal
430_i170.png,430,metal
310_i170.png,310,metal
310_i180.png,310,metal
200_i160.png,200,metal
805_i170.png,805,metal
59_i250.png,59,metal
144_i230.png,144,metal
455_i120.png,455,metal
420_i140.png,420,metal
215_i110.png,215,metal
166_i120.png,166,metal
818_i150.png,818,metal
310_i150.png,310,metal
398_i120.png,398,metal
310_i160.png,310,metal
397_i160.png,397,metal
430_i210.png,430,metal
642_i110.png,642,metal
859_i140.png,859,metal
